region,year,quarter,gdp
Spain,2014,2,305360.2826070291
Spain,2014,3,298388.362050906
Spain,2014,4,314395.7885856096
Spain,2015,1,301261.21962257905
Spain,2015,2,318710.34516695637
Spain,2015,3,311967.97213796247
Spain,2015,4,330091.68633349496
Spain,2016,1,311346.08572517877
Spain,2016,2,330019.07436062756
Spain,2016,3,322997.9650486911
Spain,2016,4,340122.6790368705
Spain,2017,1,323912.6416746498
Spain,2017,2,344505.1629476739
Spain,2017,3,336625.5927307083
Spain,2017,4,355689.74909095885
Spain,2018,1,335895.95951947616
Spain,2018,2,357301.2664242741
Spain,2018,3,347988.1953236037
Spain,2018,4,369174.49514894665
Spain,2019,1,349625.47819567827
Spain,2019,2,369729.62539312645
Spain,2019,3,357961.8011451969
Spain,2019,4,380511.3322030827
Spain,2020,1,340387.36138958065
Spain,2020,2,293444.8920916593
Spain,2020,3,328325.5757676234
Sweden,2011,1,101887.7503579593
Sweden,2011,2,108711.9134304441
Sweden,2011,3,103706.6407452348
Sweden,2011,4,109351.9628313273
Sweden,2012,1,103286.381035635
Sweden,2012,2,109985.42081437471
Sweden,2012,3,102718.7235858105
Sweden,2012,4,109392.9887250984
Sweden,2013,1,104516.3623328223
Sweden,2013,2,111358.36769151781
Sweden,2013,3,105085.4971694031
Sweden,2013,4,113467.73504410891
Sweden,2014,1,108105.9575700909
Sweden,2014,2,116330.11506187261
Sweden,2014,3,110094.1792086654
Sweden,2014,4,119224.0884271941
Sweden,2015,1,114831.1357299036
Sweden,2015,2,124111.5111073047
Sweden,2015,3,117379.514239386
Sweden,2015,4,127859.5276629027
Sweden,2016,1,119128.3992234399
Sweden,2016,2,129151.5592038546
Sweden,2016,3,120310.422273615
Sweden,2016,4,133156.4137647786
Sweden,2017,1,125602.9898603571
Sweden,2017,2,135132.58901903252
Sweden,2017,3,125889.8301813495
Sweden,2017,4,138994.0234194603
Sweden,2018,1,131557.5403590567
Sweden,2018,2,141939.364385847
Sweden,2018,3,130404.0422377917
Sweden,2018,4,144812.5406914452
Sweden,2019,1,137407.08275292392
Sweden,2019,2,146733.5980551756
Sweden,2019,3,137064.3290254623
Sweden,2019,4,149439.6023670417
Sweden,2020,1,140910.1940423814
Sweden,2020,2,138318.7440266961
Switzerland,2011,1,168625.80377278847
Switzerland,2011,2,171024.9620792118
Switzerland,2011,3,170183.08677727755
Switzerland,2011,4,171004.68781068045
Switzerland,2012,1,170005.22116740525
Switzerland,2012,2,171158.55307023728
Switzerland,2012,3,172061.90872160983
Switzerland,2012,4,173265.54272852774
Switzerland,2013,1,170972.79693423383
Switzerland,2013,2,175258.33893919838
