region,year,household_savings,gdp,household_debt
Italy,2016,3.00369470793047,39922.933207999995,87.69315
Italy,2017,2.59856861041047,41784.603781,87.19188
Italy,2018,2.52934658630379,42908.651993,87.20979
Italy,2019,2.65711537601622,44217.701658,88.15148
Japan,2000,8.85163157559952,26841.230713999998,114.9146
Japan,2001,5.563508810463259,27476.220857,117.105
Japan,2002,4.90586540456714,28170.054375,115.2551
Japan,2003,4.39627173889521,28943.718166000002,114.8379
Japan,2004,3.76592714523481,30354.456682,113.6992
Japan,2005,3.66310267334195,31667.914360000002,111.4225
Japan,2006,2.7351665115197403,33094.337692,108.9206
Japan,2007,2.76125933186353,34507.170073,108.3139
Japan,2008,2.7469989320230495,34803.657814,109.3553
Japan,2009,4.21024633903987,33201.986952,107.0238
Japan,2010,3.92781598708915,34994.372225,106.8107
Japan,2011,4.21211983306251,35775.256332,102.8086
Japan,2012,2.9375391688610093,37213.837398,102.8726
Japan,2013,0.649770991139365,39008.36056,104.3684
Japan,2014,0.07625397835985401,39183.465681,104.8338
Japan,2015,1.41680582319229,40406.095333,104.4247
Japan,2016,3.27252630780078,39990.049446,105.2214
Japan,2017,2.62020199160063,40884.616367,107.9482
Japan,2018,4.28857440726586,41363.670243,107.0214
Luxembourg,2000,9.32416671781966,55276.441725,91.15759
Luxembourg,2001,10.785695539333402,55852.7417,91.00449
Luxembourg,2002,11.714896341518399,58709.015363,89.70683000000001
Luxembourg,2003,10.8946177258656,59956.326538,98.41306999999999
Luxembourg,2004,11.533530530673099,63993.597562,104.3148
Luxembourg,2005,10.6867852813002,68140.65238,114.1022
Luxembourg,2006,9.61901080087417,77890.775557,123.7492
Luxembourg,2007,11.2494626524955,83852.116754,142.8923
Luxembourg,2008,11.5553013290397,86591.985457,146.996
Luxembourg,2009,12.355898146306698,82268.597591,149.437
Luxembourg,2010,15.2982405481142,85578.884609,154.7546
Luxembourg,2011,13.054095389874899,91814.036613,162.1329
Luxembourg,2012,14.448369202384,91526.720705,165.5913
Luxembourg,2013,14.5799882056881,95246.113893,165.5674
Luxembourg,2014,15.187471120206,100933.604548,168.8813
Luxembourg,2015,15.0957866910349,103787.967646,175.9897
Luxembourg,2016,13.715104022486699,110249.797049,183.333
Luxembourg,2017,16.0958239878256,112701.65971600001,184.5839
Luxembourg,2018,16.0430782868648,116622.236253,190.1082
Mexico,2003,5.0995835075924,11302.737522,
Mexico,2004,5.846324180672069,11921.837001,
Mexico,2005,5.981573939969519,12539.95753,
Mexico,2006,7.749846637881101,13720.688225999998,
Mexico,2007,6.87721085483184,14233.029478999999,
Mexico,2008,7.040655966001401,14885.902438,
Mexico,2009,15.0682463664466,14532.386518000001,
Mexico,2010,14.5361786720013,15257.673556,
Mexico,2011,15.7487279339555,16546.641413999998,
Mexico,2012,14.647525739377198,17220.06914,
Mexico,2013,12.227947407030198,17461.798268000002,
Mexico,2014,14.1841155817295,18167.517949,
Mexico,2015,15.142525173559301,18438.044081,
Mexico,2016,13.8440378797171,19506.640994,
Mexico,2017,12.976785054675698,20022.661214,
Mexico,2018,10.8230735026957,20659.867277,
Netherlands,2000,4.00850647268308,31881.783199,202.8762
Netherlands,2001,5.015874022489191,33194.742252,197.7983
Netherlands,2002,5.13105765628725,34447.053372,208.2484
Netherlands,2003,4.653205218853969,34112.961207,226.1008
Netherlands,2004,4.27348863756938,35776.830563999996,235.9654
Netherlands,2005,2.4885671699167,37625.252435,252.7752
Netherlands,2006,1.79334844995319,40964.575029,254.7489
Netherlands,2007,1.7544700965951898,43892.697682,260.4739
Netherlands,2008,3.6290033207419197,46419.042594,268.9007
Netherlands,2009,7.4927347007539105,44600.864795999994,281.5238
Netherlands,2010,5.74132717291145,45075.085245,285.7456
Netherlands,2011,6.635148609839799,46599.227659,278.8643
Netherlands,2012,8.29622497693264,47271.968226,277.1844
Netherlands,2013,8.552130955932041,49242.786711,272.3065
Netherlands,2014,9.86351125950637,49233.230349,258.432
Netherlands,2015,9.5484347853923,50301.845624,255.8936
Netherlands,2016,10.2536142371553,52284.122623,250.8753
Netherlands,2017,8.78682895422632,55348.891835,248.9529
Netherlands,2018,9.116549856048868,57560.090716,241.24400000000003
Netherlands,2019,10.0066719602625,59512.487141,235.6637
New Zealand,2000,-2.3742325933253796,21476.293802,
New Zealand,2001,-1.19728303550516,22390.710304,
New Zealand,2002,-6.20011188582188,23180.064981,
New Zealand,2003,-3.7995871929117997,23863.518647999997,
New Zealand,2004,-3.3805141077488,24996.542524,
New Zealand,2005,-5.3384186005137195,25590.127446000002,
New Zealand,2006,-3.42705057853957,27679.017676,
New Zealand,2007,0.206432895360839,29307.787301999997,118.7263
New Zealand,2008,-1.64930555555556,29784.428108999997,128.8271
New Zealand,2009,1.5835722404112,30595.040494999997,123.8363
New Zealand,2010,2.19142583516422,31175.229299000002,121.0386
New Zealand,2011,2.58788173152814,32680.389989,116.1815
New Zealand,2012,1.01983088307398,32924.631878,116.9588
New Zealand,2013,0.635515629375902,36100.252089999994,117.6401
New Zealand,2014,-0.6396262357996021,37133.665006999996,121.4804
New Zealand,2015,-0.239988800522642,37403.074775,121.0987
New Zealand,2016,0.015444206260463002,39906.374216000004,119.2733
New Zealand,2017,0.065928423902263,41556.325496,121.7319
New Zealand,2018,-0.31994935077415304,42621.539204,
Norway,2000,4.30386636243746,36950.055214,135.2832
Norway,2001,3.09090829908588,37778.384525,148.205
Norway,2002,8.20873540001525,37981.68638,147.8273
Norway,2003,8.801466541746331,38550.330395,151.3896
Norway,2004,6.932615532798519,42510.535271,161.004
Norway,2005,9.689828115109322,47800.540634,166.6689
Norway,2006,-0.4247917135780229,54091.407666,198.4706
Norway,2007,0.939591444854844,55874.241829,207.1812
Norway,2008,3.75815705001837,61719.343656,207.3286
Norway,2009,5.22172757481221,55414.359067,206.447
Norway,2010,4.019560584310209,57961.36036599999,211.8532
Norway,2011,5.87246483039183,62077.845797,216.2688
Norway,2012,7.12328334524152,65349.216157,220.3345
Norway,2013,7.41511614737677,66956.285962,222.2172
Norway,2014,8.20688746157107,65895.667611,224.9116
Norway,2015,10.3378319305022,60368.910038,220.9512
Norway,2016,7.25151490477179,58917.288329999996,230.872
Norway,2017,6.7246942240525405,62940.203039,236.8563
Norway,2018,6.51500283889413,67639.112065,239.2673
Poland,2000,10.9560965557294,10656.185652,11.78214
Poland,2001,12.282889245137401,11101.220313,17.70842
Poland,2002,8.868407716934989,11780.566974,22.29421
Poland,2003,7.82068518695691,12260.405627,19.72203
Poland,2004,2.72931368344445,13341.934768000001,21.60185
Poland,2005,2.1655634550952,13897.472915,25.08524
Poland,2006,2.03169088587404,15143.176341,31.25392
Poland,2007,2.05095192439392,16788.670156,39.40102
Poland,2008,0.296018370957825,18315.045643,51.49519
Poland,2009,2.82077616774222,19095.054572999998,52.745219999999996
Poland,2010,2.3924704643432997,20804.753607,57.22645
Poland,2011,-1.07789722926885,22576.179383000002,60.479769999999995
Poland,2012,-1.09636206673982,23542.002955,58.42224
Poland,2013,-0.057772422240103,24422.763907,60.07999
Poland,2014,-0.351500851298716,25297.950445,61.73004
Poland,2015,-0.4322992282417671,26529.036797,63.790369999999996
Poland,2016,1.4670761141359,27947.390312,63.57063
Poland,2017,0.309083284927185,29801.809392000003,61.57058000000001
Poland,2018,-0.955625283091146,31471.211131,63.067209999999996
Portugal,2000,6.083531634736169,18883.735622,106.6021
Portugal,2001,6.38331816187255,19533.295919,114.3024
Portugal,2002,6.219463479637259,20356.721555,119.0201
Portugal,2003,5.611221721393259,20828.357333,125.0183
Portugal,2004,4.07102849512569,21458.280049,131.7297
Portugal,2005,2.7642037109483497,22725.351606,138.2117
Portugal,2006,0.835053617769783,24652.920159999998,146.3706
Portugal,2007,-0.39922291804216,25706.283965000002,150.6167
Portugal,2008,-0.8694906903871541,26665.771577,149.6765
Portugal,2009,4.067742592518741,26484.479314,150.3206
Portugal,2010,1.57231144372316,27280.174705,149.3176
Portugal,2011,0.6074123199132739,26769.42769,157.0456
Portugal,2012,2.06846263787415,26438.140472,155.217
Portugal,2013,1.6452991253266698,27936.006299,150.2744
Portugal,2014,-1.41759032276979,28742.313125,147.6679
Portugal,2015,-1.19186938909014,29668.804155,140.8354
Portugal,2016,-1.3055446461662599,31604.417531,134.0091
Portugal,2017,-2.2414217023287497,33086.07203,130.7384
Portugal,2018,-2.2051190020400004,34488.579276,125.4426
Portugal,2019,-2.02660343554193,36579.19887,122.2426
Spain,2000,6.59963291038225,21599.520334,84.66525
Spain,2001,6.44997140451133,23006.503862999998,87.19019
Spain,2002,6.08309650750405,24376.328709999998,94.61031
Spain,2003,7.07961593678393,25013.675923,102.7121
Spain,2004,5.07049732138624,26158.153212,114.5074
Spain,2005,4.265150990041819,27600.937175,126.9269
Spain,2006,2.36010600861404,30708.61697,142.1469
Spain,2007,0.7721012584466079,32429.203993,149.1548
Spain,2008,3.07682484082243,33242.245427,146.4012
