region,population,habitable_area
IDA total,1670698900,22375081.9990845
IDA blend,561572202,4369370.0
Indonesia,270625568,1811570.0
IDA only,1109126698,18005711.9990845
Isle of Man,84584,570.0
India,1366417754,2973190.0
Ireland,4941444,68890.0
"Iran, Islamic Rep.",82913906,1628760.0
Iraq,39309783,434128.0078125
Iceland,361313,100250.0
Israel,9053300,21640.0
Italy,60297396,294140.0
Jamaica,2948279,10830.0
Jordan,10101694,88780.0
Japan,126264931,364560.0
Kazakhstan,18513930,2699700.0
Kenya,52573973,569140.0
Kyrgyz Republic,6456900,191800.0
Cambodia,16486542,176520.0
Kiribati,117606,810.0
St. Kitts and Nevis,52823,260.0
"Korea, Rep.",51709098,97489.00390625
Kuwait,4207083,17820.0
Latin America & Caribbean (excluding high income),613773128,19018930.0
Lao PDR,7169455,230800.0
Lebanon,6855713,10230.0
Liberia,4937374,96320.0
Libya,6777452,1759540.0
St. Lucia,182790,610.0
Latin America & Caribbean,646430841,20039364.43125
Least developed countries: UN classification,1033388876,17762824.9990845
Low income,668454965,12509460.0
Liechtenstein,38019,160.0
Sri Lanka,21803000,62710.0
Lower middle income,-2147483648,21916544.9990845
Low & middle income,-2147483648,91977068.0147095
Lesotho,2125268,30360.0
Late-demographic dividend,-2147483648,44519022.03125
Lithuania,2786844,62642.001953125
Luxembourg,619896,2430.0
Latvia,1912789,62180.0
"Macao SAR, China",640445,30.399999618530302
St. Martin (French part),38002,54.4
Morocco,36471769,446300.0
Monaco,38964,2.0
Moldova,2657637,32890.0
Madagascar,26969307,581800.0
Maldives,530953,300.0
Middle East & North Africa,456707404,11223466.007842999
Mexico,127575529,1943950.0
Marshall Islands,58791,180.0
Middle income,-2147483648,79467608.0147095
North Macedonia,2083459,25220.0
Mali,19658031,1220190.0
Malta,502653,320.0
Myanmar,54045420,653080.0
Middle East & North Africa (excluding high income),389457086,8641088.0078125
Montenegro,622137,13450.0
Mongolia,3225167,1553560.0
Northern Mariana Islands,57216,460.0
Mozambique,30366036,786380.0
Mauritania,4525696,1030700.0
Mauritius,1265711,2030.0
Malawi,18628747,94280.0
Malaysia,31949777,328550.0
North America,365892703,18240984.000001002
Namibia,2494530,823290.0
New Caledonia,287800,18280.0
Niger,23310715,1266700.0
